name,true_area,lat,lon,notes,overpass_area,population_estimate,geometric_estimate,overpass_area_error,overpass_area_error_pct,overpass_area_relative_error,population_estimate_error,population_estimate_error_pct,population_estimate_relative_error,geometric_estimate_error,geometric_estimate_error_pct,geometric_estimate_relative_error
Paris,105.4,48.8566,2.3522,,104.72015585035824,432.2,85.374,0.6798441496417666,0.6450134247075584,-0.6450134247075584,326.79999999999995,310.0569259962049,310.0569259962049,20.02600000000001,19.000000000000007,-19.000000000000007
Amsterdam,219.4,52.377956,4.89707,,224.59375245796448,348.8,177.71399999999997,5.193752457964479,2.367252715571777,2.367252715571777,129.4,58.979033728350046,58.979033728350046,41.686000000000035,19.000000000000018,-19.000000000000018
Berlin,891.7,52.52,13.405,,18.994806244170796,729.0,722.2770000000002,872.7051937558292,97.86982098865417,-97.86982098865417,162.70000000000005,18.246046876752274,-18.246046876752274,169.4229999999999,18.999999999999986,-18.999999999999986
Barcelona,101.4,41.3851,2.1734,,44.97170015964314,324.0,82.134,56.428299840356864,55.64921088792589,-55.64921088792589,222.6,219.5266272189349,219.5266272189349,19.266000000000005,19.000000000000004,-19.000000000000004
Vienna,414.6,48.2082,16.3738,,,379.4,335.82599999999996,,,,35.200000000000045,8.490110950313566,-8.490110950313566,78.77400000000006,19.000000000000014,-19.000000000000014
Singapore,734.3,1.3521,103.8198,,149.53543805109322,379.06666666666666,594.7829999999999,584.7645619489067,79.63564782090518,-79.63564782090518,355.2333333333333,48.377139225566296,-48.377139225566296,139.51700000000005,19.000000000000007,-19.000000000000007
Tokyo,627.0,35.6762,139.6503,,,930.6666666666666,507.87,,,,303.66666666666663,48.43168527379053,48.43168527379053,119.13,19.0,-19.0
Seoul,605.2,37.5665,126.978,,,648.8666666666667,490.21200000000005,,,,43.66666666666663,7.21524564882132,7.21524564882132,114.988,18.999999999999996,-18.999999999999996
Bangkok,1568.7,13.7563,100.5018,,,552.0666666666667,1270.647,,,,1016.6333333333333,64.80737765878328,-64.80737765878328,298.0530000000001,19.000000000000007,-19.000000000000007
New York,783.8,40.7128,-74.006,,1.6398332283019952,1667.2,634.878,782.160166771698,99.79078422706023,-99.79078422706023,883.4000000000001,112.70732329675938,112.70732329675938,148.9219999999999,18.99999999999999,-18.99999999999999
San Francisco,121.4,37.7749,-122.4194,,70.56787724871435,582.6666666666666,98.334,50.83212275128565,41.87160028936215,-41.87160028936215,461.26666666666665,379.95606809445354,379.95606809445354,23.066000000000003,19.0,-19.0
Vancouver,115.0,49.2827,-123.1207,,140.1463006702053,450.0,93.14999999999999,25.146300670205306,21.866348408874178,21.866348408874178,335.0,291.30434782608694,291.30434782608694,21.85000000000001,19.000000000000007,-19.000000000000007
Toronto,630.2,43.6532,-79.3832,,24.226291042306983,1117.6,510.4620000000001,605.973708957693,96.1557773655495,-96.1557773655495,487.39999999999986,77.34052681688351,77.34052681688351,119.73799999999994,18.99999999999999,-18.99999999999999
Sydney,26.7,-33.8688,151.2093,,826789.1382205647,246.0,21.627,826762.4382205647,3096488.5326612913,3096488.5326612913,219.3,821.3483146067416,821.3483146067416,5.073,19.000000000000004,-19.000000000000004
Melbourne,37.4,-37.8136,144.9631,,233040.4712009945,178.0,30.294,233003.0712009945,623002.864173782,623002.864173782,140.6,375.93582887700535,375.93582887700535,7.105999999999998,18.999999999999993,-18.999999999999993
Auckland,1086.0,-36.8485,174.7633,,44.70797921598131,828.5,879.6600000000002,1041.2920207840186,95.88324316611589,-95.88324316611589,257.5,23.71086556169429,-23.71086556169429,206.3399999999998,18.999999999999982,-18.999999999999982
Buenos Aires,203.0,-34.6037,-58.3816,,202.98821391550695,512.5,164.42999999999998,0.011786084493053295,0.005805952952243002,-0.005805952952243002,309.5,152.4630541871921,152.4630541871921,38.57000000000002,19.00000000000001,-19.00000000000001
São Paulo,1521.0,-23.5505,-46.6333,,1520.9619937414761,1027.0833333333333,1232.01,0.038006258523864744,0.0024987678187945264,-0.0024987678187945264,493.91666666666674,32.47315362699978,-32.47315362699978,288.99,19.0,-19.0
Cape Town,2446.0,-33.9249,18.4241,,157329.80109278683,1154.5,1981.2600000000002,154883.80109278683,6332.125964545659,6332.125964545659,1291.5,52.80049059689289,-52.80049059689289,464.7399999999998,18.999999999999993,-18.999999999999993
Johannesburg,1645.0,-26.2041,28.0473,,17964.809454323193,1237.25,1332.45,16319.809454323193,992.0856811138719,992.0856811138719,407.75,24.78723404255319,-24.78723404255319,312.54999999999995,18.999999999999996,-18.999999999999996
